protein_name	disorder_name	score
P22303	0011122	0.30000001192092896
P22303	0001386	0.30000001192092896
P22303	0004989	0.3199999928474426
P22303	0004975	0.4000000059604645
P22303	0017884	0.30000001192092896
P22303	0017885	0.30000001192092896
P22303	0003012	0.30000001192092896
P22303	0005220	0.30000001192092896
P22303	0005086	0.3100000023841858
P22303	0005071	0.3100000023841858
P22303	0020121	0.30000001192092896
P22303	0008315	0.30000001192092896
P22303	0019065	0.4000000059604645
P22304	0015469	0.30000001192092896
P22304	0010674	1
A0A087X296	0001126	0.3499999940395355
A0A087X296	0004993	0.30000001192092896
A0A087X296	0004989	0.3499999940395355
A0A087X296	0005617	0.30000001192092896
A0A087X296	0005300	0.30000001192092896
A0A087X296	0006406	0.30000001192092896
A0A087X296	0005009	0.30000001192092896
A0A087X296	0007576	0.30000001192092896
A0A087X296	0022742	0.30000001192092896
A0A087X296	0008383	0.3400000035762787
A0A087X296	0021355	0.30000001192092896
Q5VTY9	0011719	0.30000001192092896
Q5VTY9	0002145	0.30000001192092896
Q5VTY9	0010814	0.5
A0A087X1N8	0013269	0.4000000059604645
Q5VU50	0001909	0.30000001192092896
Q5VU50	0011242	0.8100000023841858
Q5VU50	0019719	0.30000001192092896
A0A087X1Q1	0021124	0.30000001192092896
A0A087X1Q1	0021085	0.5
A0A087X1Q1	0021063	0.5
A0A087X1Q1	0021042	0.8999999761581421
A0A087X1Q1	0010150	0.5
A0A087X1Q1	0000577	0.30000001192092896
A0A087X1Q1	0002927	0.5
A0A087X1Q1	0002939	0.30000001192092896
A0A087X1Q1	0002898	0.699999988079071
A0A087X1Q1	0002691	0.4000000059604645
A0A087X1Q1	0002629	1
A0A087X1Q1	0015917	0.6000000238418579
A0A087X1Q1	0002562	0.30000001192092896
A0A087X1Q1	0002533	0.30000001192092896
A0A087X1Q1	0002531	0.699999988079071
A0A087X1Q1	0001187	0.6000000238418579
A0A087X1Q1	0002454	0.30000001192092896
A0A087X1Q1	0015758	0.38999998569488525
A0A087X1Q1	0015760	0.4000000059604645
A0A087X1Q1	0004993	0.30000001192092896
A0A087X1Q1	0002334	0.4000000059604645
A0A087X1Q1	0004992	0.4000000059604645
A0A087X1Q1	0016982	0.6000000238418579
A0A087X1Q1	0004987	0.6000000238418579
A0A087X1Q1	0004989	0.8999999761581421
A0A087X1Q1	0004948	0.800000011920929
A0A087X1Q1	0004971	0.5
A0A087X1Q1	0004972	0.4000000059604645
A0A087X1Q1	0004976	0.36000001430511475
A0A087X1Q1	0004970	0.699999988079071
A0A087X1Q1	0003582	0.4000000059604645
A0A087X1Q1	0015597	0.30000001192092896
A0A087X1Q1	0015459	0.5
A0A087X1Q1	0016718	0.5
A0A087X1Q1	0003436	0.4000000059604645
A0A087X1Q1	0003435	0.30000001192092896
A0A087X1Q1	0004721	0.4000000059604645
A0A087X1Q1	0002038	0.4000000059604645
A0A087X1Q1	0016682	0.3400000035762787
A0A087X1Q1	0016681	0.3499999940395355
A0A087X1Q1	0003210	0.6000000238418579
A0A087X1Q1	0017884	0.30000001192092896
A0A087X1Q1	0017885	0.30000001192092896
A0A087X1Q1	0017844	0.3400000035762787
A0A087X1Q1	0015278	0.30000001192092896
A0A087X1Q1	0003268	0.5099999904632568
A0A087X1Q1	0003197	0.5
A0A087X1Q1	0015075	0.6000000238418579
A0A087X1Q1	0005627	0.4000000059604645
A0A087X1Q1	0005617	0.4000000059604645
A0A087X1Q1	0005606	0.5199999809265137
A0A087X1Q1	0003012	0.30000001192092896
A0A087X1Q1	0006895	0.30000001192092896
A0A087X1Q1	0018881	0.5
A0A087X1Q1	0005580	0.6000000238418579
A0A087X1Q1	0005586	0.5
A0A087X1Q1	0005575	0.4000000059604645
A0A087X1Q1	0018875	1
A0A087X1Q1	0016216	0.30000001192092896
A0A087X1Q1	0018874	0.699999988079071
A0A087X1Q1	0042487	0.3199999928474426
A0A087X1Q1	0005401	0.5
A0A087X1Q1	0005411	0.4000000059604645
A0A087X1Q1	0017387	0.5199999809265137
A0A087X1Q1	0019934	0.30000001192092896
A0A087X1Q1	0006639	0.800000011920929
A0A087X1Q1	0007903	0.4099999964237213
A0A087X1Q1	0005372	0.3400000035762787
A0A087X1Q1	0005375	0.4000000059604645
A0A087X1Q1	0005341	0.4300000071525574
A0A087X1Q1	0005299	0.30000001192092896
A0A087X1Q1	0006566	0.4000000059604645
A0A087X1Q1	0005233	0.4000000059604645
A0A087X1Q1	0005269	0.3100000023841858
A0A087X1Q1	0005220	0.30000001192092896
A0A087X1Q1	0005197	0.5099999904632568
A0A087X1Q1	0005192	0.5
A0A087X1Q1	0006491	0.3100000023841858
A0A087X1Q1	0006456	0.36000001430511475
A0A087X1Q1	0006451	0.5299999713897705
A0A087X1Q1	0006474	0.4000000059604645
A0A087X1Q1	0005138	0.4000000059604645
A0A087X1Q1	0005131	0.4000000059604645
A0A087X1Q1	0006406	0.3199999928474426
A0A087X1Q1	0005105	0.6000000238418579
A0A087X1Q1	0005086	0.5
A0A087X1Q1	0005083	0.4000000059604645
A0A087X1Q1	0005096	0.6000000238418579
A0A087X1Q1	0005044	0.4300000071525574
A0A087X1Q1	0005045	0.30000001192092896
A0A087X1Q1	0005032	0.33000001311302185
A0A087X1Q1	0005004	0.36000001430511475
A0A087X1Q1	0005008	0.4000000059604645
A0A087X1Q1	0005028	0.4000000059604645
A0A087X1Q1	0005029	0.33000001311302185
A0A087X1Q1	0005012	0.5
A0A087X1Q1	0007648	0.30000001192092896
A0A087X1Q1	0006292	0.4000000059604645
A0A087X1Q1	0007576	0.699999988079071
A0A087X1Q1	0006176	0.5
A0A087X1Q1	0007416	0.3499999940395355
A0A087X1Q1	0008734	0.4099999964237213
A0A087X1Q1	0018031	0.30000001192092896
A0A087X1Q1	0007243	0.4000000059604645
A0A087X1Q1	0009837	0.6399999856948853
A0A087X1Q1	0021470	0.30000001192092896
A0A087X1Q1	0019004	0.5
A0A087X1Q1	0008315	0.5
A0A087X1Q1	0019087	0.6000000238418579
A0A087X1Q1	0021355	0.6000000238418579
A0A087X1Q1	0021253	0.3199999928474426
A0A087X1Q1	0021245	0.5600000023841858
Q5VU21	0021085	0.30000001192092896
Q5VU21	0007648	0.30000001192092896
A0A087X1B1	0010387	0.6000000238418579
A0A087X1B1	0010386	0.699999988079071
A0A087X1B1	0010368	0.5
A0A087X1B1	0010293	0.800000011920929
A0A087X1B1	0016985	0.30000001192092896
A0A087X1B1	0005833	0.30000001192092896
A0A087X1B1	0010631	1
Q5VU08	0011329	0.30000001192092896
Q5VU08	0014862	0.6000000238418579
Q5VU08	0005299	0.30000001192092896
A0A087X1D5	0013817	0.4000000059604645
A0A087X1D5	0005081	0.6000000238418579
A0A087X1G1	0004069	0.30000001192092896
P36222	0008143	0.3400000035762787
P36222	0021042	0.4000000059604645
P36222	0015917	0.3100000023841858
P36222	0016682	0.30000001192092896
